mV;time
0;0
1523;2
1534;4
1540;7
1533;9
1527;11
1517;13
1508;16
1502;18
1492;20
1489;23
1501;25
1512;27
1524;30
1528;32
1523;34
1515;36
1501;39
1492;41
1495;44
1504;47
1513;49
1523;51
1523;54
1513;56
1498;58
1488;61
1493;63
1508;65
1519;67
1526;70
1537;72
1539;74
1524;77
1508;79
1494;81
1498;84
1503;87
1507;89
1511;91
1518;94
1524;96
1529;98
1518;101
1512;103
1516;105
1519;108
1527;110
1538;112
1530;115
1514;117
1506;120
1505;122
1510;124
1513;128
1518;130
1522;132
1522;135
1520;137
1517;139
1508;142
1509;144
1513;146
1518;149
1528;151
1519;153
1510;156
1507;158
1504;161
1504;163
1509;165
1508;168
1507;171
1503;173
1495;176
1494;178
1494;180
1499;183
1510;185
1523;187
1533;190
1534;192
1529;195
1527;197
1523;199
1510;202
1506;204
1506;206
1508;209
1516;211
1517;214
1508;217
1501;219
1489;221
1487;224
1494;226
1510;228
1528;231
1530;233
1514;236
1495;238
1492;240
1501;243
1514;245
1519;247
1523;250
1534;252
1545;254
1546;258
1530;260
1509;262
1509;265
1523;267
1525;269
1517;272
1502;274
1486;277
1476;279
1475;281
1491;284
1511;286
1522;288
1525;291
1517;293
1506;295
1496;299
1497;301
1506;303
1512;306
1517;308
1533;311
1546;313
1535;315
1511;318
1494;320
1486;322
1505;325
1525;327
1534;329
1532;332
1521;334
1507;336
1499;339
1500;342
1513;344
1531;347
1539;349
1536;352
1521;354
1504;356
1494;359
1483;361
1484;363
1497;366
1504;368
1507;370
1509;373
1515;375
1515;377
1505;380
1501;382
1504;385
1508;388
1509;390
1507;393
1501;395
1491;397
1483;400
1495;402
1532;404
1553;407
1551;409
1536;411
1521;414
1512;416
1506;418
1504;421
1507;423
1510;427
1508;429
1510;431
1512;434
1508;436
1506;438
1500;441
1499;443
1503;445
1506;448
1513;450
1516;452
1517;455
1512;457
1505;459
1501;462
1510;464
1520;467
1524;470
1521;472
1506;475
1494;477
1493;479
1499;482
1504;484
1511;486
1511;489
1508;491
1500;493
1493;496
1497;498
1502;501
1506;503
1510;505
1517;508
1532;510
1534;513
1524;516
1517;518
1512;520
1501;523
1500;525
1502;527
1504;530
1505;532
1503;534
1495;537
1486;539
1482;542
1497;544
1512;546
1526;549
1534;551
1526;553
1508;557
1499;559
1500;561
1521;564
1537;566
1535;568
1532;571
1526;573
1514;575
1498;578
1489;580
1489;583
1501;585
1512;587
1519;590
1524;592
1526;594
1521;598
1511;600
1504;602
1513;605
1522;607
1528;609
1534;612
1531;614
1528;617
1525;619
1518;621
1513;624
1519;626
1525;628
1528;631
1528;633
1523;635
1521;638
1516;641
1513;643
1515;646
1518;648
1521;650
1526;653
1536;655
1535;658
1525;660
1512;662
1512;665
1520;667
1528;669
1530;672
1523;674
1516;676
1512;679
1506;681
1507;684
1517;687
1525;689
1529;692
1525;694
1517;696
1508;699
1498;701
1504;703
1527;706
1533;708
1535;710
1531;713
1521;715
1513;717
1509;720
1503;722
1507;724
1513;728
1524;730
1531;733
1528;735
1515;737
1509;740
1507;742
1517;744
1523;747
1526;749
1527;751
1516;754
1503;756
1495;758
1491;761
1488;763
1493;766
1505;769
1521;771
1525;774
1516;776
1515;778
1507;781
1503;783
1504;785
1504;788
1504;790
1505;792
1500;795
1494;797
1486;799
1479;802
1480;804
1488;807
1502;809
1512;812
1508;815
1491;817
1483;819
1485;822
1501;824
1518;826
1518;829
1512;831
1505;833
1496;836
1481;838
1481;841
1488;843
1494;845
1489;848
1495;850
1502;852
1502;856
1492;858
1482;860
1472;863
1480;865
1488;867
1494;870
1506;872
1512;874
1505;877
1489;879
1479;882
1490;884
1503;886
1513;889
1516;891
1513;893
1498;897
1493;899
1490;901
1492;904
1493;906
1490;908
1489;911
1487;913
1481;915
1475;918
1471;920
1471;923
1478;925
1486;927
1499;930
1510;932
1505;934
1497;937
1493;940
1497;942
1520;945
1531;947
1532;949
1514;952
1498;954
1490;957
1482;959
1474;961
1472;964
1482;966
1488;968
1490;971
1486;973
1481;975
1492;978
1514;980
1518;983
1512;986
1503;988
1495;990
1489;993
1481;995
1476;998
1480;1000
1487;1002
1498;1005
1498;1007
1500;1009
1502;1012
1506;1014
1496;1017
1487;1019
1480;1022
1487;1025
1502;1027
1514;1030
1519;1032
1508;1035
1501;1037
1512;1039
1517;1042
1516;1044
1510;1047
1504;1049
1502;1051
1500;1054
1493;1056
1485;1059
1481;1061
1492;1063
1504;1067
1503;1069
1500;1072
1496;1074
1491;1076
1490;1079
1496;1081
1507;1084
1513;1086
1513;1088
1513;1091
1523;1093
1519;1096
1504;1098
1495;1100
1498;1103
1506;1105
1510;1108
1511;1111
1522;1114
1529;1116
1521;1118
1498;1121
1486;1123
1499;1126
1512;1128
1521;1130
1519;1133
1507;1135
1499;1138
1495;1140
1505;1142
1525;1145
1528;1147
1521;1150
1519;1153
1514;1155
1499;1158
1487;1160
1482;1163
1490;1165
1503;1167
1511;1170
1512;1172
1510;1175
1508;1177
1511;1179
1524;1182
1536;1184
1537;1187
1527;1189
1526;1192
1524;1195
1514;1197
1505;1200
1497;1202
1503;1205
1527;1207
1542;1209
1539;1212
1522;1214
1505;1217
1494;1219
1494;1221
1504;1224
1517;1226
1518;1229
1517;1231
1515;1233
1504;1236
1492;1239
1484;1242
1497;1244
1510;1246
1517;1249
1523;1251
1527;1254
1522;1256
1514;1258
1511;1261
1514;1263
1522;1266
1522;1268
1526;1270
1522;1273
1510;1275
1494;1278
1491;1281
1498;1284
1512;1286
1516;1288
1514;1291
1522;1293
1528;1296
1519;1298
1501;1300
1491;1303
1497;1305
1503;1308
1507;1310
1508;1312
1500;1315
1493;1317
1492;1320
1494;1323
1508;1325
1520;1328
1526;1330
1531;1333
1526;1335
1510;1337
1496;1340
1496;1342
1508;1345
1520;1347
1522;1349
1517;1352
1502;1354
1491;1357
1483;1359
1484;1361
1497;1364
1510;1367
1516;1370
1523;1372
1535;1375
1530;1377
1516;1379
1492;1382
1482;1384
1491;1387
1502;1389
1510;1391
1508;1394
1508;1396
1504;1399
1491;1401
1485;1403
1489;1406
1496;1409
1505;1412
1511;1414
1507;1416
1497;1419
1495;1421
1503;1424
1519;1426
1530;1428
1543;1431
1543;1433
1522;1436
1501;1438
1489;1440
1497;1443
1508;1445
1508;1448
1503;1451
1500;1453
1500;1456
1505;1458
1502;1461
1492;1463
1496;1466
1515;1468
1527;1470
1530;1473
1509;1475
1487;1478
1478;1480
1475;1482
1485;1485
1490;1487
1497;1490
1507;1492
1511;1495
1502;1498
1488;1500
1481;1503
1488;1505
1496;1507
1500;1510
1514;1512
1525;1515
1531;1517
1521;1519
1507;1522
1508;1524
1514;1527
1510;1529
1509;1531
1513;1534
1504;1537
1490;1540
1472;1542
1476;1545
1493;1547
1499;1549
1500;1552
1511;1554
1519;1557
1510;1559
1496;1561
1494;1564
1504;1566
1503;1569
1500;1571
1498;1573
1489;1576
1476;1579
1468;1582
1470;1584
1485;1586
1515;1589
1530;1591
1523;1594
1512;1596
1511;1598
1511;1601
1506;1603
1501;1606
1498;1608
1497;1610
1495;1613
1498;1615
1498;1618
1492;1620
1488;1623
1492;1626
1501;1628
1503;1631
1499;1633
1491;1636
1485;1638
1481;1640
1487;1643
1500;1645
1502;1648
1496;1650
1494;1652
1490;1655
1487;1657
1486;1660
1487;1662
1504;1665
1516;1668
1518;1670
1510;1673
1505;1675
1503;1677
1496;1680
1479;1682
1477;1685
1485;1687
1491;1689
1496;1692
1498;1694
1496;1697
1485;1699
1474;1701
1476;1704
1503;1707
1523;1710
1526;1712
1513;1714
1505;1717
1500;1719
1481;1722
1479;1724
1495;1726
1508;1729
1508;1731
1494;1734
1478;1736
1469;1739
1464;1741
1468;1743
1486;1746
1497;1748
1513;1752
1527;1754
1528;1756
1518;1759
1500;1761
1489;1764
1490;1766
1490;1768
1489;1771
1486;1773
1482;1776
1494;1778
1498;1780
1491;1783
1485;1785
1492;1788
1504;1790
1520;1793
1522;1796
1506;1798
1487;1801
1483;1803
1493;1805
1501;1808
1510;1810
1510;1813
1498;1815
1484;1817
1479;1820
1478;1822
1489;1825
1500;1827
1503;1830
1509;1832
1508;1835
1504;1838
1494;1840
1482;1843
1484;1845
1500;1847
1517;1850
1522;1852
1511;1855
1490;1857
1484;1859
1480;1862
1479;1864
1489;1867
1495;1869
1499;1871
1497;1874
1490;1876
1478;1880
1474;1882
1494;1884
1515;1887
1517;1889
1509;1892
1505;1894
1494;1896
1485;1899
1471;1901
1469;1904
1483;1906
1496;1908
1517;1911
1527;1913
1513;1916
1489;1918
1473;1922
1473;1924
1483;1926
1491;1929
1503;1931
1521;1934
1517;1936
1498;1938
1476;1941
1471;1943
1479;1946
1487;1948
1491;1950
1502;1953
1503;1955
1499;1958
1492;1960
1487;1963
1498;1966
1510;1968
1521;1971
1513;1973
1501;1975
1493;1978
1483;1980
1474;1983
1489;1985
1514;1987
1523;1990
1516;1992
1500;1995
1487;1997
1479;1999
1476;2002
1484;2004
1492;2008
1492;2010
1501;2013
1503;2015
1494;2017
1491;2020
1488;2022
1499;2025
1506;2027
1510;2029
1516;2032
1518;2034
1520;2037
1521;2039
1501;2041
1490;2044
1488;2046
1490;2050
1491;2052
1487;2054
1487;2057
1489;2059
1493;2062
1497;2064
1500;2066
1494;2069
1492;2071
1506;2074
1508;2076
1500;2078
1479;2081
1470;2083
1478;2086
1488;2088
1499;2091
1502;2094
1493;2096
1486;2099
1491;2101
1496;2103
1501;2106
1502;2108
1500;2111
1496;2113
1498;2116
1503;2118
1499;2120
1485;2123
1489;2125
1502;2128
1516;2130
1524;2132
1518;2136
1504;2138
1494;2141
1487;2143
1489;2145
1496;2148
1506;2150
1511;2153
1499;2155
1484;2157
1476;2160
1473;2162
1482;2165
1493;2167
1504;2169
1527;2172
1540;2174
1528;2178
1507;2180
1493;2182
1497;2185
1512;2187
1521;2190
1521;2192
1514;2195
1495;2197
1483;2199
1472;2202
1473;2204
1483;2207
1489;2209
1496;2211
1499;2214
1509;2216
1523;2220
1521;2222
1510;2224
1508;2227
1507;2229
1507;2232
1506;2234
1502;2236
1493;2239
1483;2241
1478;2244
1492;2246
1508;2248
1517;2251
1512;2253
1501;2256
1490;2258
1483;2260
1484;2264
1497;2266
1516;2269
1539;2271
1540;2273
1521;2276
1500;2278
1486;2281
1483;2283
1488;2286
1493;2288
1492;2290
1492;2293
1487;2295
1489;2298
1491;2300
1492;2302
1494;2306
1509;2308
1533;2311
1541;2313
1519;2315
1494;2318
1486;2320
1484;2323
1489;2325
1495;2327
1495;2330
1499;2332
1509;2335
1502;2337
1487;2339
1476;2342
1484;2344
1509;2348
1522;2350
1521;2352
1503;2355
1482;2357
1469;2360
1463;2362
1485;2365
1515;2367
1522;2369
1517;2372
1512;2374
1509;2377
1500;2379
1491;2381
1486;2384
1488;2386
1486;2390
1491;2392
1500;2394
1498;2397
1488;2399
1475;2402
1476;2404
1491;2406
1500;2409
1502;2411
1504;2414
1503;2416
1505;2418
1500;2421
1488;2423
1490;2426
1494;2428
1495;2430
1493;2434
1490;2436
1489;2439
1490;2441
1497;2444
1506;2446
1507;2448
1503;2451
1505;2453
1510;2456
1510;2458
1501;2460
1492;2463
1494;2465
1501;2468
1502;2470
1502;2472
1496;2476
1493;2478
1495;2481
1498;2483
1504;2485
1504;2488
1500;2490
1497;2493
1493;2495
1494;2497
1493;2500
1485;2502
1488;2505
1495;2507
1500;2509
1510;2512
1509;2514
1496;2518
1493;2520
1504;2523
1523;2525
1531;2527
1524;2530
1521;2532
1513;2535
1500;2537
1488;2539
1479;2542
1484;2544
1508;2547
1536;2549
1552;2551
1543;2554
1520;2556
1498;2560
1485;2562
1483;2564
1491;2567
1496;2569
1500;2572
1501;2574
1497;2576
1489;2579
1477;2581
1475;2584
1491;2586
1502;2588
1506;2591
1509;2593
1506;2596
1501;2598
1491;2600
1491;2604
1502;2606
1512;2609
1518;2611
1523;2613
1515;2616
1502;2618
1489;2621
1488;2623
1508;2625
1537;2628
1567;2630
1575;2633
1563;2635
1538;2638
1512;2640
1485;2642
1479;2646
1483;2648
1491;2651
1544;2653
1601;2655
1600;2658
1561;2660
1535;2663
1535;2665
1535;2667
1525;2670
1526;2672
1523;2675
1505;2677
1487;2679
1483;2682
1487;2684
1494;2688
1497;2690
1499;2692
1493;2695
1490;2697
1497;2700
1490;2702
1478;2704
1476;2707
1479;2709
1485;2712
1497;2714
1495;2716
1478;2719
1469;2721
1485;2724
1510;2726
1521;2729
1514;2732
1503;2734
1496;2737
1485;2739
1468;2742
1464;2744
1483;2746
1499;2749
1503;2751
1497;2754
1486;2756
1470;2758
1472;2761
1482;2763
1501;2766
1506;2768
1517;2770
1522;2774
1509;2776
1495;2779
1483;2781
1475;2783
1474;2786
1487;2788
1506;2791
1544;2793
1550;2795
1516;2798
1480;2800
1464;2803
1468;2805
1480;2807
1485;2810
1481;2812
1469;2816
1458;2818
1454;2821
1453;2823
1458;2825
1477;2828
1505;2830
1520;2833
1503;2835
1485;2837
1476;2840
1471;2842
1471;2845
1476;2847
1504;2849
1539;2852
1560;2854
1537;2857
1514;2860
1500;2862
1490;2865
1481;2867
1473;2870
1467;2872
1465;2874
1465;2877
1462;2879
1449;2882
1440;2884
1448;2886
1459;2889
1466;2891
1466;2894
1452;2896
1444;2898
1458;2902
1482;2904
1493;2907
1478;2909
1469;2912
1484;2914
1488;2916
1492;2919
1480;2921
1463;2924
1453;2926
1454;2928
1458;2931
1470;2933
1482;2936
1479;2938
1456;2940
1435;2944
1433;2946
1440;2949
1447;2951
1449;2953
1443;2956
1439;2958
1433;2961
1430;2963
1449;2965
1466;2968
1466;2970
1464;2973
1471;2975
1480;2977
1482;2980
1464;2982
1453;2985
1453;2988
1464;2990
1468;2993
1453;2995
1434;2998
1426;3000
1430;3003
1442;3005
1457;3007
1451;3010
1443;3012
1437;3015
1433;3017
1429;3019
1432;3022
1443;3024
1453;3027
1451;3030
1450;3032
1451;3035
1449;3037
1442;3040
1433;3042
1440;3044
1450;3047
1467;3049
1479;3052
1473;3054
1450;3056
1435;3059
1433;3061
1459;3064
1483;3066
1477;3068
1463;3072
1456;3074
1449;3077
1447;3079
1453;3082
1466;3084
1474;3086
1470;3089
1471;3091
1476;3094
1472;3096
1462;3098
1461;3101
1463;3103
1470;3106
1476;3108
1504;3110
1515;3113
1497;3116
1475;3119
1457;3121
1450;3123
1462;3126
1477;3128
1486;3131
1495;3133
1495;3135
1483;3138
1471;3140
1467;3143
1480;3145
1518;3147
1541;3150
1535;3152
1505;3155
1482;3158
1474;3161
1469;3163
1471;3165
1487;3168
1496;3170
1500;3173
1497;3175
1489;3177
1477;3180
1466;3182
1473;3185
1497;3187
1522;3189
1537;3192
1532;3194
1514;3197
1495;3200
1483;3202
1480;3205
1493;3207
1513;3210
1531;3212
1523;3214
1497;3217
1481;3219
1479;3222
1482;3224
1493;3226
1514;3229
1524;3231
1523;3234
1510;3236
1500;3239
1496;3241
1501;3244
1521;3247
1529;3249
1527;3252
1518;3254
1511;3256
1499;3259
1486;3261
1492;3264
1515;3266
1534;3268
1534;3271
1524;3273
1504;3276
1490;3278
1481;3280
1478;3283
1502;3286
1528;3289
1533;3291
1525;3293
1516;3296
1508;3298
1499;3301
1489;3303
1513;3305
1538;3308
1535;3310
1521;3313
1508;3315
1497;3317
1494;3320
1497;3322
1508;3325
1512;3328
1508;3331
1508;3333
1502;3335
1497;3338
1498;3340
1502;3343
1506;3345
1511;3347
1510;3350
1517;3352
1518;3355
1506;3357
1497;3359
1505;3362
1524;3364
1535;3367
1525;3369
1513;3372
1508;3375
1504;3377
1498;3380
1499;3382
1503;3384
1510;3387
1514;3389
1529;3392
1541;3394
1538;3396
1531;3399
1513;3401
1497;3404
1493;3406
1496;3408
1511;3411
1519;3414
1521;3417
1508;3419
1492;3422
1480;3424
1486;3426
1505;3429
1518;3431
1519;3434
1512;3436
1505;3438
1513;3441
1528;3443
1548;3446
1553;3448
1555;3450
1564;3453
1552;3456
1527;3459
1496;3461
1477;3463
1480;3466
1491;3468
1505;3471
1513;3473
1508;3475
1491;3478
1477;3480
1470;3483
1486;3485
1519;3487
1532;3490
1523;3492
1509;3495
1502;3497
1495;3501
1482;3503
1485;3505
1501;3508
1510;3510
1506;3513
1492;3515
1481;3517
1475;3520
1480;3522
1499;3525
1526;3527
1536;3529
1523;3532
1513;3534
1507;3537
1500;3539
1490;3542
1489;3545
1498;3547
1503;3550
1513;3552
1520;3554
1515;3557
1494;3559
1474;3562
1470;3564
1486;3566
1504;3569
1511;3571
1507;3574
1501;3576
1494;3579
1486;3581
1482;3584
1505;3587
1529;3589
1530;3592
1513;3594
1506;3596
1501;3599
1498;3601
1489;3604
1487;3606
1496;3608
1501;3611
1507;3613
1505;3616
1511;3618
1509;3620
1497;3623
1494;3625
1505;3629
1513;3631
1517;3633
1520;3636
1512;3638
1505;3641
1496;3643
1501;3645
1499;3648
1495;3650
1496;3653
1502;3655
1513;3658
1521;3660
1517;3662
1507;3665
1523;3667
1529;3671
1519;3673
1504;3675
1488;3678
1507;3680
1525;3683
1523;3685
1510;3687
1502;3690
1503;3692
1506;3695
1497;3697
1491;3699
1494;3702
1516;3704
1530;3707
1523;3709
1507;3712
1499;3715
1483;3717
1476;3720
1487;3722
1499;3724
1508;3727
1509;3729
1514;3732
1521;3734
1520;3736
1509;3739
1491;3741
1482;3744
1482;3746
1488;3749
1495;3751
1506;3753
1511;3757
1495;3759
1477;3762
1467;3764
1473;3766
1484;3769
1500;3771
1510;3774
1513;3776
1505;3778
1485;3781
1471;3783
1472;3786
1482;3788
1492;3790
1499;3793
1494;3795
1478;3799
1475;3801
1470;3803
1479;3806
1490;3808
1493;3811
1491;3813
1483;3816
1481;3818
1483;3820
1479;3823
1477;3825
1484;3828
1493;3830
1501;3832
1497;3835
1477;3837
1462;3841
1456;3843
1476;3845
1495;3848
1514;3850
1513;3853
1497;3855
1501;3857
1515;3860
1515;3862
1494;3865
1486;3867
1482;3869
1482;3872
1481;3874
1473;3877
1466;3879
1464;3881
1472;3885
1484;3887
1491;3890
1498;3892
1515;3894
1510;3897
1487;3899
1463;3902
1457;3904
1469;3907
1477;3909
1482;3911
1489;3914
1499;3916
1495;3919
1484;3921
1477;3923
1486;3927
1492;3929
1503;3932
1515;3934
1515;3936
1495;3939
1474;3941
1460;3944
1465;3946
1481;3948
1491;3951
1497;3953
1490;3956
1474;3958
1464;3960
1454;3963
1463;3965
1478;3969
1496;3971
1507;3973
1499;3976
1477;3978
1474;3981
1480;3983
1491;3986
1495;3988
1493;3990
1503;3993
1503;3995
1486;3998
1469;4000
1466;4002
1486;4005
1514;4007
1514;4011
1501;4013
1490;4015
1477;4018
1466;4020
1461;4023
1472;4025
1489;4027
1502;4030
1501;4032
1512;4035
1510;4037
1492;4039
1478;4042
1478;4044
1490;4047
1492;4049
1487;4051
1486;4055
1482;4057
