mV;time
0;0
1494;2
1493;4
1492;7
1495;9
1498;11
1499;13
1499;16
1498;18
1495;20
1493;23
1492;25
1494;27
1497;30
1498;32
1499;34
1498;36
1495;39
1493;41
1492;44
1491;47
1494;49
1498;51
1499;54
1498;56
1496;58
1493;61
1492;63
1491;65
1493;67
1497;70
1498;72
1498;74
1498;77
1495;79
1494;81
1491;84
1490;87
1493;89
1495;91
1496;94
1496;96
1495;98
1491;101
1490;103
1489;105
1491;108
1494;110
1496;112
1496;115
1495;117
1493;120
1492;122
1490;124
1491;128
1495;130
1497;132
1498;135
1498;137
1496;139
1493;142
1490;144
1489;146
1491;149
1494;151
1495;153
1496;156
1494;158
1490;161
1489;163
1489;165
1492;168
1495;171
1495;173
1494;176
1493;178
1489;180
1487;183
1486;185
1486;187
1491;190
1492;192
1492;194
1492;197
1489;199
1487;202
1485;204
1486;206
1488;209
1492;211
1494;214
1495;217
1493;219
1490;221
1488;224
1486;226
1488;228
1491;231
1491;233
1489;235
1485;238
1480;240
1480;243
1481;245
1484;247
1489;250
1490;252
1492;254
1492;258
1491;260
1489;262
1487;265
1487;267
1491;269
1492;272
1493;274
1493;277
1491;279
1488;281
1486;284
1485;286
1487;288
1490;291
1490;293
1490;295
1488;299
1485;301
1484;303
1482;306
1484;308
1488;310
1489;313
1490;315
1491;318
1485;320
1482;322
1480;325
1481;327
1485;329
1487;332
1488;334
1488;336
1485;339
1482;342
1481;344
1481;347
1484;349
1486;351
1487;354
1487;356
1485;359
1483;361
1480;363
1480;366
1484;368
1487;370
1487;373
1486;375
1484;377
1481;380
1480;382
1479;385
1480;388
1483;390
1484;392
1485;395
1484;397
1480;400
1478;402
1477;404
1478;407
1482;409
1484;411
1485;414
1486;416
1484;418
1480;421
1479;423
1477;425
1479;429
1482;431
1483;434
1484;436
1483;438
1479;441
1478;443
1478;445
1481;448
1486;450
1484;452
1480;455
1478;457
1479;459
1480;462
1480;464
1479;466
1482;470
1484;472
1486;475
1486;477
1484;479
1481;482
1480;484
1480;486
1483;489
1486;491
1487;493
1488;496
1487;498
1483;500
1480;503
1480;505
1484;507
1487;510
1489;513
1492;516
1492;518
1489;520
1486;523
1480;525
1481;527
1487;530
1490;532
1491;534
1488;537
1483;539
1484;541
1486;544
1487;546
1489;549
1491;551
1491;553
1492;557
1490;559
1488;561
1485;564
1483;566
1484;568
1488;571
1488;573
1489;575
1489;578
1480;580
1476;582
1479;585
1485;587
1488;590
1489;592
1486;594
1485;598
1483;600
1480;602
1478;605
1479;607
1481;609
1480;612
1479;614
1480;616
1478;619
1475;621
1474;623
1471;626
1473;628
1463;631
1449;633
1450;635
1453;638
1453;641
1454;643
1454;646
1457;648
1458;650
1457;653
1458;655
1452;657
1440;660
1442;662
1451;665
1457;667
1458;669
1453;672
1448;674
1449;676
1452;679
1454;681
1455;684
1455;687
1449;689
1454;691
1467;694
1476;696
1469;698
1457;701
1453;703
1452;706
1445;708
1451;710
1457;713
1464;715
1467;717
1466;720
1465;722
1458;724
1460;728
1462;730
1469;732
1476;735
1469;737
1456;739
1449;742
1454;744
1461;747
1469;749
1481;751
1480;754
1478;756
1460;758
1447;761
1449;763
1457;765
1466;769
1470;771
1466;773
1468;776
1475;778
1481;780
1486;783
1488;785
1489;788
1487;790
1479;792
1478;795
1478;797
1481;799
1482;802
1475;804
1463;806
1463;809
1471;812
1481;814
1487;817
1488;819
1486;822
1479;824
1473;826
1480;829
1483;831
1483;833
1476;836
1468;838
1471;840
1476;843
1479;845
1479;847
1478;850
1478;852
1480;855
1487;858
1492;860
1494;863
1498;865
1497;867
1499;870
1499;872
1495;874
1494;877
1487;879
1486;881
1488;884
1493;886
1496;888
1495;891
1495;893
1492;896
1490;899
1485;901
1485;904
1486;906
1490;908
1495;911
1489;913
1488;915
1482;918
